name,original_location,normalized_location,latitude,longitude,needs_review
A Tire,Bandaragama,Bandaragama,6.7106,79.9931,False
AB Mauri Lanka,Mount Lavinia,Mount Lavinia,6.8389,79.8653,False
ACE Apparel,Habaraduwa,Habaraduwa,6.0333,80.2833,False
Advantage Technologies,Colombo 07,Colombo 07,6.9101,79.862,False
Aitken Spence,Mathugama,Mathugama,6.5167,80.1167,False
Ambalangoda IOC Filling Station,Ambalangoda,Ambalangoda,6.2354,80.054,False
Analytical Properties,Colombo 8,Colombo 08,6.9139,79.8778,False
Analytical Properties,Colombo 8,Colombo 08,6.9139,79.8778,False
Analytical Properties,Biyagama,Biyagama,6.9497,79.9187,False
Antler General Industries (Pvt) Ltd,Piliyandala,Piliyandala,6.8006,79.9227,False
Antler Industries (Pvt) Ltd.,Piliyandala.,Piliyandala,6.8006,79.9227,False
Antler Industries (Pvt) Ltd.,Piliyandala.,Piliyandala,6.8006,79.9227,False
Anton Factory,"Raja Mawatha,Ekala.",Ekala,7.0667,79.9167,False
Arpico,Mattegoda,Mattegoda,6.8333,79.9667,False
Art Decoration International (Pvt) Ltd,Bandaragama,Bandaragama,6.7106,79.9931,False
Art Decoration International (Pvt) Ltd,Bandaragama,Bandaragama,6.7106,79.9931,False
Kaymu Lanka Pvt Ltd,Pannipitiya,Pannipitiya,6.85,79.95,False
Bally's Casino,Colombo 10,Colombo 10,6.928,79.865,False
Bathi Pooja,Bandaragama,Bandaragama,6.7106,79.9931,False
Bathi Pooja,Makumbura,Makumbura,6.85,79.95,False
Bellagio Club,Colombo 04,Colombo 04,6.8895,79.857,False
Big city,Horana,Horana,6.7147,80.0631,False
Big city,Matara,Matara,5.9549,80.555,False
Biomedite Pvt Ltd,Kohuwala,Kohuwala,6.8722,79.8842,False
Blue chip Technical Services Pvt Ltd,Nugegoda,Nugegoda,6.8649,79.8997,False
BMICH,Colombo,Colombo,6.9271,79.8612,False
BMICH,Colombo,Colombo,6.9271,79.8612,False
Beira Brush Pvt Ltd,Ingiriya.,Ingiriya,6.7667,80.1167,False
Browns,Sapugaskanda.,Sapugaskanda,6.9833,79.9333,False
Business Development Filling Station,Salmal Uyana,Salmal Uyana,6.8481,79.9265,False
CBS,Korathota,Korathota,6.9167,80.0167,False
CCL Garment,Watawala,Watawala,6.95,80.6167,False
Central Industries PLC,Yakkala,Yakkala,7.0833,80.0333,False
Ceylon Aquatics,Pannala,Pannala,7.3167,80.0833,False
Ceylon Tobacco Company PLC,Hali Ela,Hali Ela,6.9333,81.0167,False
Ceylon Tobacco Company PLC,Buttala,Buttala,6.7683,81.2417,False
Ceylon Tobacco Company PLC,Kohuwala,Kohuwala,6.8722,79.8842,False
Ceylon Tobacco Company PLC,Nildandahinna,Nildandahinna,7.1667,80.8,False
Ceylon Tobacco Company PLC,Galle,Galle,6.0535,80.221,False
Ceylon Tobacco Company PLC,Theldeniya,Theldeniya,7.3667,80.6667,False
Checkpoint Apparel,Ja ela,Ja-Ela,7.0742,79.8917,False
CLEF Consultants,Ja ela,Ja-Ela,7.0742,79.8917,False
Coho Corporation (PVT) LTD,Colombo 03,Colombo 03,6.9147,79.8483,False
Courtaulds Clothing Lanka (Pvt) Ltd,Kalagedihena,Kalagedihena,7.0833,80.0167,False
CSEC,Rajagiriya,Rajagiriya,6.9094,79.8931,False
CSEC,Rajagiriya,Rajagiriya,6.9094,79.8931,False
Daintee,"72C Kandawala Road, Ratmalana",Ratmalana,6.8206,79.8862,False
Dankotuwa Porcelain,Dankotuwa,Dankotuwa,7.3167,79.9667,False
DCSL,Beruwala,Beruwala,6.479,79.9827,False
DCSL,Kurunegala,Kurunegala,7.4863,80.3647,False
DCSL,Gampola,Gampola,7.1639,80.5731,False
DCSL,Galle,Galle,6.0535,80.221,False
DCSL,Dikoya,Dikoya,6.8333,80.65,False
DCSL,Vavniya,Vavniya,8.75,80.5,False
DCSL,Anuradhapura,Anuradhapura,8.3114,80.4037,False
DCSL,Rathmalana,Ratmalana,6.8206,79.8862,False
Debug Digital Center,Piliyandala.,Piliyandala,6.8006,79.9227,False
Delmage Forsyth & CO. Ltd,Colombo 10,Colombo 10,6.928,79.865,False
Dic Lanka,Homagama,Homagama,6.8444,80.0025,False
DSI,Colombo,Colombo,6.9271,79.8612,False
DSI,Kalutara,Kalutara,6.5854,79.9607,False
DSI,Kalutara,Kalutara,6.5854,79.9607,False
EAM Maliban Textiles (Pvt) Ltd,Opanayake,Opanayake,6.6167,80.5,False
East India Holdings,Colombo,Colombo,6.9271,79.8612,False
East India Holdings,Kaduwela,Kaduwela,6.9333,79.9833,False
EOAS ORGANICS (PVT) LTD,Mt. Lavinia,Mount Lavinia,6.8389,79.8653,False
EOAS ORGANICS (PVT) LTD,Rathmalana,Ratmalana,6.8206,79.8862,False
Fits Air Independence Avenue,Colombo 3,Colombo 03,6.9147,79.8483,False
Fits Express,Colombo 3,Colombo 03,6.9147,79.8483,False
